Find operations for 297 data items: 69, 292, 33, 131, 61, 254, 231, 242, 195, 108, 49, 250, 15, 200, 222, 2, 229, 137, 118, 53, 163, 16, 12, 14, 278, 5, 196, 111, 217, 15, 271, 114, 225, 254, 284, 120, 177, 119, 113, 236, 149, 12, 214, 285, 52, 96, 152, 62, 171, 257, 217, 260, 98, 156, 146, 256, 259, 202, 18, 246, 125, 207, 213, 89, 188, 281, 192, 45, 225, 261, 56, 84, 267, 202, 190, 251, 16, 241, 23, 158, 297, 202, 88, 87, 258, 117, 7, 103, 277, 281, 119, 208, 264, 177, 296, 181, 236, 138, 281, 3
Find operations for 594 data items: 393, 525, 133, 532, 575, 211, 437, 58, 493, 374, 584, 568, 205, 517, 424, 497, 366, 425, 355, 2, 552, 554, 340, 470, 29, 236, 182, 564, 186, 94, 565, 262, 34, 73, 86, 18, 464, 15, 288, 256, 276, 113, 190, 353, 298, 72, 172, 164, 262, 541, 173, 280, 302, 466, 330, 509, 486, 117, 25, 320, 396, 352, 432, 193, 265, 112, 260, 523, 215, 443, 22, 231, 19, 407, 150, 37, 165, 457, 519, 437, 558, 226, 529, 462, 229, 537, 32, 405, 590, 329, 437, 61, 306, 129, 218, 49, 314, 73, 79, 318
Find operations for 891 data items: 306, 762, 163, 427, 579, 259, 134, 9, 575, 871, 39, 605, 840, 223, 584, 472, 176, 848, 889, 891, 799, 721, 638, 522, 39, 388, 206, 356, 102, 211, 588, 691, 444, 606, 199, 505, 107, 682, 400, 304, 517, 512, 18, 334, 627, 412, 289, 19, 161, 206, 879, 336, 831, 577, 802, 139, 348, 440, 219, 273, 691, 99, 858, 389, 561, 353, 858, 704, 548, 497, 787, 546, 241, 67, 743, 42, 87, 137, 174, 171, 552, 219, 275, 778, 341, 615, 519, 862, 262, 377, 347, 349, 117, 299, 241, 889, 619, 799, 733, 501
Find operations for 1188 data items: 278, 1188, 1129, 214, 657, 81, 833, 150, 779, 302, 257, 699, 235, 775, 157, 1169, 1127, 459, 1160, 168, 547, 748, 606, 1156, 1095, 235, 938, 568, 221, 94, 606, 26, 30, 188, 847, 236, 82, 385, 491, 863, 332, 237, 924, 343, 495, 326, 211, 892, 775, 1112, 603, 1127, 519, 977, 645, 206, 426, 651, 82, 56, 22, 606, 656, 922, 802, 642, 817, 129, 132, 650, 934, 229, 513, 441, 1112, 961, 729, 531, 376, 1110, 426, 630, 408, 505, 739, 167, 576, 184, 918, 186, 1177, 695, 466, 800, 629, 85, 671, 383, 649, 1186
Find operations for 1485 data items: 621, 504, 685, 207, 1115, 1253, 1186, 1221, 189, 502, 451, 42, 500, 823, 149, 549, 1129, 146, 154, 45, 1302, 21, 596, 736, 1011, 961, 316, 207, 1027, 672, 158, 1043, 1363, 355, 368, 307, 290, 655, 626, 219, 1453, 1054, 1233, 602, 259, 424, 291, 1118, 1480, 66, 648, 1277, 1377, 1133, 1413, 421, 365, 613, 887, 1101, 324, 100, 1464, 1368, 507, 518, 132, 1397, 915, 881, 1125, 513, 1109, 900, 1102, 929, 23, 811, 694, 352, 529, 995, 50, 1324, 854, 1169, 39, 128, 1417, 727, 1188, 284, 1216, 257, 284, 531, 568, 815, 1156, 822
Find operations for 1782 data items: 353, 1255, 183, 479, 996, 16, 364, 1083, 650, 1026, 1329, 898, 1406, 1309, 1498, 463, 489, 641, 1014, 1407, 981, 461, 1460, 845, 691, 1148, 1252, 1492, 1339, 564, 1324, 450, 99, 147, 1564, 1048, 1322, 756, 327, 1048, 1569, 1623, 418, 639, 612, 1419, 614, 1739, 1132, 762, 339, 1437, 1437, 1509, 952, 1218, 175, 1754, 253, 1242, 1053, 1170, 773, 362, 320, 514, 874, 446, 1167, 1474, 1552, 1603, 107, 1014, 1396, 807, 1469, 1305, 713, 787, 1055, 1732, 338, 1115, 1495, 84, 1074, 186, 1655, 523, 1288, 207, 548, 1510, 172, 285, 1589, 1264, 1725, 1352
Find operations for 2079 data items: 336, 1823, 988, 1567, 1774, 1628, 675, 1334, 1795, 518, 1999, 869, 489, 1767, 1673, 484, 1211, 1138, 1017, 1552, 17, 778, 1798, 87, 127, 993, 1067, 847, 709, 1167, 608, 822, 1120, 1275, 1028, 1829, 689, 1463, 2011, 1721, 499, 856, 1570, 839, 1164, 443, 99, 484, 55, 1215, 560, 308, 2050, 1531, 1275, 1791, 2061, 1462, 1326, 4, 508, 1812, 1842, 1435, 1249, 1636, 1391, 2017, 464, 1547, 1567, 836, 16, 1138, 815, 1891, 1676, 1251, 698, 1841, 809, 1473, 15, 1595, 1745, 1660, 1377, 278, 2019, 1015, 1192, 86, 1668, 640, 1628, 1107, 730, 301, 42, 1432
Find operations for 2376 data items: 1084, 1685, 2230, 1244, 623, 1893, 1063, 1985, 695, 1914, 2091, 186, 1110, 2091, 404, 1731, 286, 1455, 275, 1813, 81, 673, 2078, 663, 382, 1647, 1130, 1247, 856, 2164, 851, 972, 1368, 1103, 281, 307, 2144, 1509, 1917, 2096, 2285, 204, 691, 1217, 2279, 1105, 1458, 951, 1608, 2299, 1638, 706, 1981, 1064, 1351, 911, 1060, 1001, 126, 1650, 1297, 1769, 1018, 1103, 778, 298, 679, 2373, 1817, 607, 1074, 1882, 2157, 666, 568, 566, 1806, 1480, 1269, 1642, 986, 475, 845, 1252, 280, 436, 933, 1627, 1317, 2017, 410, 765, 185, 227, 96, 888, 143, 2026, 2165, 1812
Find operations for 2673 data items: 1403, 1125, 484, 2512, 708, 391, 910, 1638, 956, 2028, 1843, 1548, 691, 950, 966, 1162, 1895, 2241, 2376, 1596, 868, 1851, 1057, 1353, 2033, 2432, 455, 876, 323, 190, 64, 22, 1968, 1309, 1570, 2377, 1177, 803, 1639, 656, 2647, 624, 125, 63, 1587, 595, 2223, 234, 2314, 1555, 1042, 533, 326, 1896, 2672, 1243, 60, 146, 2200, 250, 2151, 529, 176, 1121, 482, 1772, 373, 779, 114, 2047, 2612, 534, 1144, 787, 1834, 1597, 1351, 2585, 1098, 1065, 2629, 2604, 996, 1006, 247, 2409, 2419, 718, 1433, 1756, 2480, 2295, 2615, 2139, 250, 1447, 2241, 1691, 2205, 817
Find operations for 2970 data items: 2915, 2198, 1738, 2714, 288, 2923, 1095, 2502, 2954, 297, 1031, 728, 396, 619, 241, 833, 1754, 184, 217, 2610, 374, 2101, 1922, 2053, 1517, 407, 1281, 165, 519, 2177, 136, 1816, 2721, 526, 1619, 2899, 1828, 101, 2149, 1106, 371, 1025, 1333, 352, 1237, 141, 1574, 239, 1070, 1283, 533, 1067, 1558, 480, 2777, 1245, 386, 1741, 1006, 2060, 2283, 842, 1353, 1388, 2087, 1602, 2393, 1971, 429, 532, 2673, 1838, 2146, 2289, 2947, 2382, 2873, 2131, 2194, 124, 1194, 644, 820, 1517, 1595, 2135, 1329, 399, 1678, 1415, 518, 2355, 266, 179, 1231, 2667, 2186, 1285, 1711, 1222
